本平台单号,三方单号,会员ID,上层代理,投注日期时间,投注金额,投注币种,派彩金额,派彩日期时间,会员输赢金额,游戏名称,游戏场馆,有效打码
2067197196429553664,2067195794221480449,2066899863253573632,a1760356615,2026-06-17 06:40:58,1,USDT,0,2026-06-17 06:40:58,-1,Mahjong Ways,PG,1
2067197194261098496,2067195796876542976,2066899863253573632,a1760356615,2026-06-17 06:40:59,1,USDT,0,2026-06-17 06:40:59,-1,Mahjong Ways,PG,1
2067197194751832064,2067195799657334272,2066899863253573632,a1760356615,2026-06-17 06:40:59,1,USDT,0.2,2026-06-17 06:41:01,-0.8,Mahjong Ways,PG,1
2067197446393294848,2067195816048591872,2066899863253573632,a1760356615,2026-06-17 06:41:03,1,USDT,0,2026-06-17 06:41:04,-1,Mahjong Ways,PG,1
2067197447206989824,2067195819324406272,2066899863253573632,a1760356615,2026-06-17 06:41:04,1,USDT,7.2,2026-06-17 06:41:08,6.2,Mahjong Ways,PG,1
2067197445206306816,2067195846310540800,2066899863253573632,a1760356615,2026-06-17 06:41:11,1,USDT,0,2026-06-17 06:41:11,-1,Mahjong Ways,PG,1
2067197444602327040,2067195849196195328,2066899863253573632,a1760356615,2026-06-17 06:41:11,1,USDT,0,2026-06-17 06:41:11,-1,Mahjong Ways,PG,1
2067197446493958144,2067195852618821120,2066899863253573632,a1760356615,2026-06-17 06:41:12,1,USDT,0,2026-06-17 06:41:12,-1,Mahjong Ways,PG,1
2067197445306970112,2067195855777158657,2066899863253573632,a1760356615,2026-06-17 06:41:13,1,USDT,0,2026-06-17 06:41:13,-1,Mahjong Ways,PG,1
2067197445604765696,2067195858520173056,2066899863253573632,a1760356615,2026-06-17 06:41:13,1,USDT,0,2026-06-17 06:41:14,-1,Mahjong Ways,PG,1
2067197446594621440,2067195861451992576,2066899863253573632,a1760356615,2026-06-17 06:41:14,1,USDT,3.6,2026-06-17 06:41:20,2.6,Mahjong Ways,PG,1
2067197446691090432,2067195896147281409,2066899863253573632,a1760356615,2026-06-17 06:41:22,1,USDT,3.6,2026-06-17 06:41:28,2.6,Mahjong Ways,PG,1
2067197445705428992,2067195930662230528,2066899863253573632,a1760356615,2026-06-17 06:41:31,1,USDT,0,2026-06-17 06:41:31,-1,Mahjong Ways,PG,1
2067197444707184640,2067195934038640640,2066899863253573632,a1760356615,2026-06-17 06:41:31,1,USDT,0,2026-06-17 06:41:32,-1,Mahjong Ways,PG,1
2067197446791753728,2067195936282509312,2066899863253573632,a1760356615,2026-06-17 06:41:32,1,USDT,2.1,2026-06-17 06:41:36,1.1,Mahjong Ways,PG,1
2067197445801897984,2067195962094285825,2066899863253573632,a1760356615,2026-06-17 06:41:38,1,USDT,0,2026-06-17 06:41:38,-1,Mahjong Ways,PG,1
2067197445403439104,2067195964967390209,2066899863253573632,a1760356615,2026-06-17 06:41:39,1,USDT,0,2026-06-17 06:41:39,-1,Mahjong Ways,PG,1
